TIME_DELTA,SPEED,REFERENCE,CONTROL,ERROR
25.47,215.000000,100.000000,0.000000,0.000000
25.49,208.000000,100.000000,0.000000,0.000000
25.52,209.000000,100.000000,0.000000,0.000000
25.61,209.000000,100.000000,0.000000,0.000000
25.63,211.000000,100.000000,0.000000,0.000000
25.66,212.000000,100.000000,0.000000,0.000000
25.69,215.000000,100.000000,0.000000,0.000000
25.71,215.000000,100.000000,0.000000,0.000000
25.76,215.000000,100.000000,0.000000,0.000000
25.81,213.000000,100.000000,0.000000,0.000000
25.84,210.000000,100.000000,0.000000,0.000000
25.87,213.000000,100.000000,0.000000,0.000000
25.89,212.000000,100.000000,0.000000,0.000000
25.92,211.000000,100.000000,0.000000,0.000000
26.01,211.000000,100.000000,0.000000,0.000000
26.03,212.000000,100.000000,0.000000,0.000000
26.06,213.000000,100.000000,0.000000,0.000000
26.09,215.000000,100.000000,0.000000,0.000000
26.11,214.000000,100.000000,0.000000,0.000000
26.16,211.000000,100.000000,0.000000,0.000000
26.22,212.000000,100.000000,0.000000,0.000000
26.24,208.000000,100.000000,0.000000,0.000000
26.27,210.000000,100.000000,0.000000,0.000000
26.30,212.000000,100.000000,0.000000,0.000000
26.32,211.000000,100.000000,0.000000,0.000000
26.40,209.000000,100.000000,0.000000,0.000000
26.43,208.000000,100.000000,0.000000,0.000000
26.46,210.000000,100.000000,0.000000,0.000000
26.48,211.000000,100.000000,0.000000,0.000000
26.51,216.000000,100.000000,0.000000,0.000000
26.56,218.000000,100.000000,0.000000,0.000000
